,Postcode,Bedrooms,RentalUnitDesc,VUDate,VTDate,TENDate,RUUseType,HousingServiceCentre,VUDays,VTDays,TotalVAC,LGA,StateElectorate,Year,Month
0,4032,3,Detached House,9/10/2017,2/11/2017,3/11/2017,Public Housing,105,24,1,25,BRISBANE,STAFFORD,2017,2017-11
1,4108,2,Detached House,3/04/2018,18/04/2018,2/05/2018,Public Housing,107,15,14,29,BRISBANE,TOOHEY,2018,2018-05
2,4108,2,Detached House,1/08/2017,11/08/2017,21/08/2017,Public Housing,107,10,10,20,BRISBANE,TOOHEY,2017,2017-08
3,4108,2,Detached House,1/03/2018,23/03/2018,28/03/2018,Public Housing,107,22,5,27,BRISBANE,TOOHEY,2018,2018-03
4,4108,2,Detached House,15/11/2017,1/12/2017,2/01/2018,Public Housing,107,16,32,48,BRISBANE,TOOHEY,2018,2018-01
5,4108,2,Detached House,13/11/2017,1/12/2017,11/12/2017,Public Housing,107,18,10,28,BRISBANE,TOOHEY,2017,2017-12
6,4108,2,Detached House,19/01/2018,2/02/2018,1/03/2018,Public Housing,107,14,27,41,BRISBANE,TOOHEY,2018,2018-03
7,4108,2,Detached House,12/10/2017,27/10/2017,28/11/2017,Public Housing,107,15,32,47,BRISBANE,TOOHEY,2017,2017-11
8,4108,1,Detached House,18/08/2017,31/08/2017,8/09/2017,Public Housing,107,13,8,21,BRISBANE,TOOHEY,2017,2017-09
9,4032,3,Senior Unit,20/11/2017,6/12/2017,22/12/2017,Public Housing,105,16,16,32,BRISBANE,STAFFORD,2017,2017-12
10,4032,3,Senior Unit,7/11/2017,8/11/2017,8/11/2017,Public Housing,105,1,0,1,BRISBANE,STAFFORD,2017,2017-11
11,4032,2,Attached Housing,6/09/2017,19/10/2017,27/11/2017,Public Housing,105,43,39,82,BRISBANE,STAFFORD,2017,2017-11
12,4032,3,Apartment,15/02/2018,13/03/2018,26/03/2018,Public Housing,105,26,13,39,BRISBANE,STAFFORD,2018,2018-03
13,4121,3,Cluster Housing,30/04/2018,1/05/2018,9/05/2018,Public Housing,107,1,8,9,BRISBANE,GREENSLOPES,2018,2018-05
15,4109,2,Cluster Housing,25/10/2017,6/11/2017,15/11/2017,Public Housing,107,12,9,21,BRISBANE,TOOHEY,2017,2017-11
16,4109,2,Senior Unit,17/08/2017,24/08/2017,1/09/2017,Public Housing,107,7,8,15,BRISBANE,TOOHEY,2017,2017-09
18,4152,3,Senior Unit,7/02/2018,12/02/2018,1/03/2018,Public Housing,107,5,17,22,BRISBANE,CHATSWORTH,2018,2018-03
19,4152,3,Duplex,19/09/2017,12/10/2017,3/11/2017,Public Housing,107,23,22,45,BRISBANE,CHATSWORTH,2017,2017-11
20,4152,2,Senior Unit,31/05/2018,7/06/2018,14/06/2018,Public Housing,107,7,7,14,BRISBANE,CHATSWORTH,2018,2018-06
22,4152,3,Senior Unit,17/05/2018,18/05/2018,4/06/2018,Public Housing,107,1,17,18,BRISBANE,CHATSWORTH,2018,2018-06
23,4034,2,Senior Unit,22/01/2018,13/02/2018,29/03/2018,Public Housing,105,22,44,66,BRISBANE,ASPLEY,2018,2018-03
24,4034,3,Senior Unit,15/12/2017,8/01/2018,15/01/2018,Public Housing,105,24,7,31,BRISBANE,ASPLEY,2018,2018-01
25,4034,4,Senior Unit,15/08/2017,4/09/2017,15/09/2017,Public Housing,105,20,11,31,BRISBANE,ASPLEY,2017,2017-09
26,4034,2,Detached House,10/10/2017,4/01/2018,17/01/2018,Public Housing,105,86,13,99,BRISBANE,ASPLEY,2018,2018-01
27,4034,2,Detached House,23/11/2017,21/12/2017,12/01/2018,Public Housing,105,28,22,50,BRISBANE,ASPLEY,2018,2018-01
28,4034,2,Duplex,11/07/2017,4/08/2017,8/08/2017,Public Housing,105,24,4,28,BRISBANE,ASPLEY,2017,2017-08
29,4122,2,Duplex,5/10/2017,26/10/2017,7/11/2017,Public Housing,107,21,12,33,BRISBANE,MANSFIELD,2017,2017-11
30,4122,3,Duplex,1/05/2018,1/05/2018,17/05/2018,Public Housing,107,0,16,16,BRISBANE,MANSFIELD,2018,2018-05
31,4122,2,Detached House,9/11/2017,27/11/2017,5/12/2017,Public Housing,107,18,8,26,BRISBANE,MANSFIELD,2017,2017-12
32,4032,3,Detached House,13/06/2017,28/06/2017,7/07/2017,Public Housing,105,15,9,24,BRISBANE,STAFFORD,2017,2017-07
33,4077,2,Senior Unit,10/01/2018,8/02/2018,12/02/2018,Public Housing,104,29,4,33,BRISBANE,INALA,2018,2018-02
34,4077,2,Attached Housing,13/02/2018,5/03/2018,19/03/2018,Public Housing,104,20,14,34,BRISBANE,INALA,2018,2018-03
35,4077,3,Detached House,15/11/2017,27/11/2017,29/11/2017,Public Housing,104,12,2,14,BRISBANE,INALA,2017,2017-11
36,4077,4,Cluster Housing,26/04/2018,25/05/2018,30/05/2018,Public Housing,104,29,5,34,BRISBANE,INALA,2018,2018-05
37,4077,2,Detached House,7/11/2017,22/11/2017,24/11/2017,Public Housing,104,15,2,17,BRISBANE,INALA,2017,2017-11
38,4077,2,Detached House,9/11/2017,20/11/2017,21/11/2017,Public Housing,104,11,1,12,BRISBANE,INALA,2017,2017-11
39,4077,2,Apartment,28/05/2018,28/05/2018,29/05/2018,Public Housing,104,0,1,1,BRISBANE,INALA,2018,2018-05
40,4110,2,Apartment,1/11/2017,16/11/2017,21/11/2017,Public Housing,104,15,5,20,BRISBANE,ALGESTER,2017,2017-11
41,4077,3,Apartment,20/06/2017,11/07/2017,11/07/2017,Public Housing,104,21,0,21,BRISBANE,INALA,2017,2017-07
42,4077,2,Apartment,21/06/2017,20/07/2017,20/07/2017,Public Housing,104,29,0,29,BRISBANE,INALA,2017,2017-07
43,4077,2,Apartment,25/10/2017,29/11/2017,30/11/2017,Public Housing,104,35,1,36,BRISBANE,INALA,2017,2017-11
44,4077,2,Apartment,22/03/2018,23/03/2018,6/04/2018,Public Housing,104,1,14,15,BRISBANE,INALA,2018,2018-04
45,4077,2,Apartment,13/02/2018,5/03/2018,15/03/2018,Public Housing,104,20,10,30,BRISBANE,INALA,2018,2018-03
46,4077,3,Detached House,28/09/2017,18/10/2017,19/10/2017,Public Housing,104,20,1,21,BRISBANE,INALA,2017,2017-10
47,4077,3,Apartment,12/02/2018,23/03/2018,29/03/2018,Public Housing,104,39,6,45,BRISBANE,INALA,2018,2018-03
48,4077,2,Apartment,28/07/2017,31/07/2017,3/08/2017,Public Housing,104,3,3,6,BRISBANE,INALA,2017,2017-08
49,4077,2,Apartment,29/06/2017,26/07/2017,27/07/2017,Public Housing,104,27,1,28,BRISBANE,INALA,2017,2017-07
50,4077,2,Apartment,1/11/2017,1/11/2017,8/11/2017,Public Housing,104,0,7,7,BRISBANE,INALA,2017,2017-11
51,4077,3,Apartment,20/12/2017,22/12/2017,22/12/2017,Public Housing,104,2,0,2,BRISBANE,INALA,2017,2017-12
52,4077,2,Apartment,9/11/2017,24/11/2017,27/11/2017,Public Housing,104,15,3,18,BRISBANE,INALA,2017,2017-11
53,4077,2,Apartment,31/01/2018,15/02/2018,19/02/2018,Public Housing,104,15,4,19,BRISBANE,INALA,2018,2018-02
55,4077,3,Detached House,1/11/2017,1/11/2017,3/11/2017,Public Housing,104,0,2,2,BRISBANE,INALA,2017,2017-11
56,4077,2,Detached House,1/11/2017,23/11/2017,24/11/2017,Public Housing,104,22,1,23,BRISBANE,INALA,2017,2017-11
57,4077,3,Apartment,5/03/2018,28/03/2018,3/04/2018,Public Housing,104,23,6,29,BRISBANE,INALA,2018,2018-04
58,4054,1,Apartment,28/06/2017,10/07/2017,26/07/2017,Public Housing,108,12,16,28,BRISBANE,FERNY GROVE,2017,2017-07
59,4054,1,Apartment,26/04/2018,4/05/2018,9/05/2018,Public Housing,108,8,5,13,BRISBANE,FERNY GROVE,2018,2018-05
61,4077,2,Apartment,2/01/2018,15/01/2018,17/01/2018,Public Housing,104,13,2,15,BRISBANE,INALA,2018,2018-01
62,4053,2,Apartment,1/12/2017,15/12/2017,12/02/2018,Public Housing,105,14,59,73,BRISBANE,STAFFORD,2018,2018-02
63,4053,2,Apartment,6/02/2018,21/02/2018,28/03/2018,Public Housing,105,15,35,50,BRISBANE,STAFFORD,2018,2018-03
64,4053,2,Apartment,13/04/2018,27/04/2018,28/05/2018,Public Housing,105,14,31,45,BRISBANE,STAFFORD,2018,2018-05
65,4077,3,Senior Unit,2/02/2018,15/02/2018,2/03/2018,Public Housing,104,13,15,28,BRISBANE,INALA,2018,2018-03
66,4077,3,Senior Unit,9/10/2017,27/10/2017,1/11/2017,Public Housing,104,18,5,23,BRISBANE,INALA,2017,2017-11
67,4077,3,Detached House,14/11/2017,23/11/2017,24/11/2017,Public Housing,104,9,1,10,BRISBANE,INALA,2017,2017-11
69,4077,3,Detached House,21/05/2018,7/06/2018,8/06/2018,Public Housing,104,17,1,18,BRISBANE,INALA,2018,2018-06
70,4077,3,Detached House,23/10/2017,6/11/2017,7/11/2017,Public Housing,104,14,1,15,BRISBANE,INALA,2017,2017-11
71,4077,2,Detached House,13/11/2017,29/11/2017,1/12/2017,Public Housing,104,16,2,18,BRISBANE,INALA,2017,2017-12
73,4053,4,Detached House,26/04/2018,27/04/2018,30/04/2018,Public Housing,105,1,3,4,BRISBANE,STAFFORD,2018,2018-04
74,4053,3,Detached House,7/03/2018,8/03/2018,11/04/2018,Public Housing,105,1,34,35,BRISBANE,STAFFORD,2018,2018-04
75,4053,3,Detached House,12/06/2017,27/06/2017,4/07/2017,Public Housing,105,15,7,22,BRISBANE,STAFFORD,2017,2017-07
76,4053,3,Detached House,22/11/2017,15/12/2017,5/02/2018,Public Housing,105,23,52,75,BRISBANE,STAFFORD,2018,2018-02
77,4053,3,Detached House,7/06/2018,13/06/2018,19/06/2018,Public Housing,105,6,6,12,BRISBANE,STAFFORD,2018,2018-06
78,4053,3,Detached House,23/05/2018,8/06/2018,15/06/2018,Public Housing,105,16,7,23,BRISBANE,STAFFORD,2018,2018-06
79,4053,3,Detached House,20/11/2017,21/12/2017,16/01/2018,Public Housing,105,31,26,57,BRISBANE,STAFFORD,2018,2018-01
80,4053,3,Detached House,10/11/2017,7/12/2017,20/12/2017,Public Housing,105,27,13,40,BRISBANE,STAFFORD,2017,2017-12
81,4572,2,Detached House,10/01/2018,22/01/2018,1/02/2018,Public Housing,205,12,10,22,SUNSHINE COAST,MAROOCHYDORE,2018,2018-02
82,4572,2,Detached House,21/02/2018,9/03/2018,16/04/2018,Public Housing,205,16,38,54,SUNSHINE COAST,MAROOCHYDORE,2018,2018-04
83,4572,1,Detached House,18/04/2018,27/04/2018,24/05/2018,Public Housing,205,9,27,36,SUNSHINE COAST,MAROOCHYDORE,2018,2018-05
84,4572,2,Detached House,4/05/2017,26/05/2017,3/07/2017,Public Housing,205,22,38,60,SUNSHINE COAST,MAROOCHYDORE,2017,2017-07
85,4161,3,Detached House,8/03/2018,28/03/2018,6/04/2018,Public Housing,106,20,9,29,REDLAND,CAPALABA,2018,2018-04
86,4161,3,Detached House,24/04/2018,16/05/2018,22/05/2018,Public Housing,106,22,6,28,REDLAND,CAPALABA,2018,2018-05
87,4161,2,Attached Housing,20/02/2018,13/03/2018,22/03/2018,Public Housing,106,21,9,30,REDLAND,CAPALABA,2018,2018-03
88,4161,1,Senior Unit,12/07/2017,20/07/2017,3/08/2017,Public Housing,106,8,14,22,REDLAND,CAPALABA,2017,2017-08
89,4161,1,Senior Unit,21/07/2017,28/08/2017,4/09/2017,Public Housing,106,38,7,45,REDLAND,CAPALABA,2017,2017-09
90,4161,1,Senior Unit,29/08/2017,14/09/2017,15/11/2017,Public Housing,106,16,62,78,REDLAND,CAPALABA,2017,2017-11
91,4161,1,Senior Unit,15/03/2018,28/03/2018,29/03/2018,Public Housing,106,13,1,14,REDLAND,CAPALABA,2018,2018-03
92,4161,1,Senior Unit,20/06/2017,3/07/2017,6/07/2017,Public Housing,106,13,3,16,REDLAND,CAPALABA,2017,2017-07
93,4161,1,Senior Unit,11/07/2017,18/07/2017,25/07/2017,Public Housing,106,7,7,14,REDLAND,CAPALABA,2017,2017-07
94,4161,1,Senior Unit,29/05/2018,14/06/2018,25/06/2018,Public Housing,106,16,11,27,REDLAND,CAPALABA,2018,2018-06
95,4161,1,Senior Unit,23/02/2018,6/03/2018,15/03/2018,Public Housing,106,11,9,20,REDLAND,CAPALABA,2018,2018-03
96,4161,1,Senior Unit,28/11/2017,13/12/2017,13/12/2017,Public Housing,106,15,0,15,REDLAND,CAPALABA,2017,2017-12
97,4161,2,Attached Housing,11/12/2017,21/12/2017,22/12/2017,Public Housing,106,10,1,11,REDLAND,CAPALABA,2017,2017-12
98,4161,5,Detached House,21/05/2018,21/06/2018,21/06/2018,Public Housing,106,31,0,31,REDLAND,CAPALABA,2018,2018-06
99,4161,2,Detached House,9/04/2018,23/04/2018,8/05/2018,Public Housing,106,14,15,29,REDLAND,CAPALABA,2018,2018-05
100,4054,3,Detached House,2/11/2017,17/11/2017,6/12/2017,Public Housing,103,15,19,34,MORETON BAY,FERNY GROVE,2017,2017-12
101,4054,3,Detached House,4/05/2018,4/05/2018,15/05/2018,Public Housing,103,0,11,11,MORETON BAY,FERNY GROVE,2018,2018-05
103,4054,3,Detached House,20/04/2018,10/05/2018,17/05/2018,Public Housing,103,20,7,27,MORETON BAY,FERNY GROVE,2018,2018-05
104,4054,3,Detached House,19/06/2017,30/06/2017,10/07/2017,Public Housing,103,11,10,21,MORETON BAY,FERNY GROVE,2017,2017-07
105,4883,3,Detached House,11/07/2017,26/07/2017,16/08/2017,Public Housing,202,15,21,36,TABLELANDS,HILL,2017,2017-08
106,4883,1,Detached House,17/11/2017,28/11/2017,18/12/2017,Public Housing,202,11,20,31,TABLELANDS,HILL,2017,2017-12
107,4883,1,Detached House,23/01/2018,9/02/2018,7/03/2018,Public Housing,202,17,26,43,TABLELANDS,HILL,2018,2018-03
108,4883,1,Apartment,4/07/2017,18/07/2017,23/08/2017,Public Housing,202,14,36,50,TABLELANDS,HILL,2017,2017-08
109,4883,1,Apartment,6/12/2017,18/12/2017,4/01/2018,Public Housing,202,12,17,29,TABLELANDS,HILL,2018,2018-01
110,4883,1,Apartment,19/01/2018,6/02/2018,23/02/2018,Public Housing,202,18,17,35,TABLELANDS,HILL,2018,2018-02
111,4883,1,Apartment,17/08/2017,25/08/2017,31/08/2017,Public Housing,202,8,6,14,TABLELANDS,HILL,2017,2017-08
112,4883,2,Apartment,15/01/2018,16/01/2018,16/01/2018,Public Housing,202,1,0,1,TABLELANDS,HILL,2018,2018-01
113,4883,2,Cluster Housing,25/10/2017,3/11/2017,13/11/2017,Public Housing,202,9,10,19,TABLELANDS,HILL,2017,2017-11
115,4883,2,Dual Occupancy,9/04/2018,30/04/2018,1/05/2018,Public Housing,202,21,1,22,TABLELANDS,HILL,2018,2018-05
116,4883,2,Senior Unit,25/07/2017,4/08/2017,4/09/2017,Public Housing,202,10,31,41,TABLELANDS,HILL,2017,2017-09
117,4883,1,Detached House,25/01/2018,6/02/2018,19/02/2018,Public Housing,202,12,13,25,TABLELANDS,HILL,2018,2018-02
118,4883,3,Cluster Housing,21/11/2017,1/12/2017,4/12/2017,Public Housing,202,10,3,13,TABLELANDS,HILL,2017,2017-12
119,4883,3,Detached House,19/06/2017,3/07/2017,28/07/2017,Aboriginal and Torres Strait Islander Housing,202,14,25,39,TABLELANDS,HILL,2017,2017-07
120,4807,2,Apartment,4/08/2017,11/08/2017,9/10/2017,Public Housing,201,7,59,66,BURDEKIN,BURDEKIN,2017,2017-10
121,4807,3,Apartment,9/11/2017,22/11/2017,28/11/2017,Public Housing,201,13,6,19,BURDEKIN,BURDEKIN,2017,2017-11
122,4807,3,Apartment,2/11/2017,14/11/2017,24/11/2017,Public Housing,201,12,10,22,BURDEKIN,BURDEKIN,2017,2017-11
123,4807,3,Apartment,13/02/2018,22/02/2018,27/03/2018,Public Housing,201,9,33,42,BURDEKIN,BURDEKIN,2018,2018-03
124,4807,3,Apartment,23/10/2017,25/10/2017,25/10/2017,Public Housing,201,2,0,2,BURDEKIN,BURDEKIN,2017,2017-10
125,4807,3,Apartment,2/02/2018,19/02/2018,12/03/2018,Public Housing,201,17,21,38,BURDEKIN,BURDEKIN,2018,2018-03
126,4807,3,Apartment,30/08/2017,11/09/2017,26/09/2017,Public Housing,201,12,15,27,BURDEKIN,BURDEKIN,2017,2017-09
127,4807,3,Detached House,21/02/2018,5/03/2018,27/03/2018,Public Housing,201,12,22,34,BURDEKIN,BURDEKIN,2018,2018-03
128,4807,3,Apartment,25/07/2017,2/08/2017,15/08/2017,Public Housing,201,8,13,21,BURDEKIN,BURDEKIN,2017,2017-08
129,4807,1,Senior Unit,12/04/2018,24/04/2018,4/05/2018,Public Housing,201,12,10,22,BURDEKIN,BURDEKIN,2018,2018-05
130,4807,1,Apartment,30/01/2018,5/02/2018,12/02/2018,Public Housing,201,6,7,13,BURDEKIN,BURDEKIN,2018,2018-02
131,4807,2,Duplex,4/05/2018,15/05/2018,24/05/2018,Public Housing,201,11,9,20,BURDEKIN,BURDEKIN,2018,2018-05
