Postcode,Bedrooms,RentalUnitDesc,VUDate,VTDate,TENDate,RUUseType,HousingServiceCentre,VUDays,VTDays,TotalVAC,LGA,StateElectorate
4032,3,DETACHED HOUSE,9/10/2017,2/11/2017,3/11/2017,Public Housing,105,24,1,25,BRISBANE,STAFFORD
4108,2,APARTMENT,3/04/2018,18/04/2018,2/05/2018,Public Housing,107,15,14,29,BRISBANE,TOOHEY
4108,2,APARTMENT,1/08/2017,11/08/2017,21/08/2017,Public Housing,107,10,10,20,BRISBANE,TOOHEY
4108,2,APARTMENT,1/03/2018,23/03/2018,28/03/2018,Public Housing,107,22,5,27,BRISBANE,TOOHEY
4108,2,APARTMENT,15/11/2017,1/12/2017,2/01/2018,Public Housing,107,16,32,48,BRISBANE,TOOHEY
4108,2,APARTMENT,13/11/2017,1/12/2017,11/12/2017,Public Housing,107,18,10,28,BRISBANE,TOOHEY
4108,2,APARTMENT,19/01/2018,2/02/2018,1/03/2018,Public Housing,107,14,27,41,BRISBANE,TOOHEY
4108,2,APARTMENT,12/10/2017,27/10/2017,28/11/2017,Public Housing,107,15,32,47,BRISBANE,TOOHEY
4108,1,SENIOR UNIT,18/08/2017,31/08/2017,8/09/2017,Public Housing,107,13,8,21,BRISBANE,TOOHEY
4032,3,DETACHED HOUSE,20/11/2017,6/12/2017,22/12/2017,Public Housing,105,16,16,32,BRISBANE,STAFFORD
4032,3,DUPLEX,7/11/2017,8/11/2017,8/11/2017,Public Housing,105,1,0,1,BRISBANE,STAFFORD
4032,2,DETACHED HOUSE,6/09/2017,19/10/2017,27/11/2017,Public Housing,105,43,39,82,BRISBANE,STAFFORD
4032,3,DETACHED HOUSE,15/02/2018,13/03/2018,26/03/2018,Public Housing,105,26,13,39,BRISBANE,STAFFORD
4121,3,DETACHED HOUSE,30/04/2018,1/05/2018,9/05/2018,Public Housing,107,1,8,9,BRISBANE,GREENSLOPES
4121,2,DETACHED HOUSE,24/05/2018,24/05/2018,24/05/2018,Public Housing,107,0,0,0,BRISBANE,GREENSLOPES
4109,2,APARTMENT,25/10/2017,6/11/2017,15/11/2017,Public Housing,107,12,9,21,BRISBANE,TOOHEY
4109,2,APARTMENT,17/08/2017,24/08/2017,1/09/2017,Public Housing,107,7,8,15,BRISBANE,TOOHEY
4152,2,DETACHED HOUSE,20/04/2018,20/04/2018,20/04/2018,Public Housing,107,0,0,0,BRISBANE,CHATSWORTH
4152,3,DETACHED HOUSE,7/02/2018,12/02/2018,1/03/2018,Public Housing,107,5,17,22,BRISBANE,CHATSWORTH
4152,3,DETACHED HOUSE,19/09/2017,12/10/2017,3/11/2017,Public Housing,107,23,22,45,BRISBANE,CHATSWORTH
4152,2,DETACHED HOUSE,31/05/2018,7/06/2018,14/06/2018,Public Housing,107,7,7,14,BRISBANE,CHATSWORTH
4152,3,DETACHED HOUSE,25/07/2017,25/07/2017,25/07/2017,Public Housing,107,0,0,0,BRISBANE,CHATSWORTH
4152,3,DETACHED HOUSE,17/05/2018,18/05/2018,4/06/2018,Public Housing,107,1,17,18,BRISBANE,CHATSWORTH
4034,2,DETACHED HOUSE,22/01/2018,13/02/2018,29/03/2018,Public Housing,105,22,44,66,BRISBANE,ASPLEY
4034,3,DETACHED HOUSE,15/12/2017,8/01/2018,15/01/2018,Public Housing,105,24,7,31,BRISBANE,ASPLEY
4034,4,DETACHED HOUSE,15/08/2017,4/09/2017,15/09/2017,Public Housing,105,20,11,31,BRISBANE,ASPLEY
4034,2,DETACHED HOUSE,10/10/2017,4/01/2018,17/01/2018,Public Housing,105,86,13,99,BRISBANE,ASPLEY
4034,2,DETACHED HOUSE,23/11/2017,21/12/2017,12/01/2018,Public Housing,105,28,22,50,BRISBANE,ASPLEY
4034,2,DETACHED HOUSE,11/07/2017,4/08/2017,8/08/2017,Public Housing,105,24,4,28,BRISBANE,ASPLEY
