Postcode,Bedrooms,PropertyType,VUDate,VTDate,TENDate,VUDays,VTDays,TotalVAC,RUUseType,HousingServiceCentre,LocalGovtAuthority,StateElectorate
0,3,Detached House,1/08/2020,1/08/2020,1/08/2020,0,0,0,Public Housing,INALA ,Brisbane,Mount Ommaney
0,2,Detached House,1/08/2020,1/08/2020,1/08/2020,1,0,1,Public Housing,IPSWICH ,Ipswich,Bundamba
0,2,Detached House,1/09/2020,1/09/2020,1/09/2020,1,0,1,Public Housing,IPSWICH ,Ipswich,Bundamba
0,2,Detached House,1/12/2020,1/12/2020,1/12/2020,1,0,1,Public Housing,IPSWICH ,Ipswich,Bundamba
0,2,Detached House,1/07/2020,1/07/2020,1/07/2020,1,0,1,Public Housing,TOWNSVILLE ,Townsville,Thuringowa
0,3,Detached House,1/11/2020,1/11/2020,1/11/2020,1,0,1,Public Housing,IPSWICH ,Ipswich,Ipswich
0,3,Detached House,1/11/2020,1/11/2020,1/11/2020,1,0,1,Public Housing,IPSWICH ,Ipswich,Ipswich
0,3,Duplex,1/07/2020,1/07/2020,1/07/2020,1,1,2,Public Housing,CHERMSIDE ,Brisbane,Sandgate
0,3,Detached House,1/09/2020,1/09/2020,1/09/2020,1,1,2,Public Housing,IPSWICH ,Ipswich,Bundamba
0,3,Detached House,1/10/2020,1/10/2020,1/10/2020,1,1,2,Public Housing,INALA ,Brisbane,Mount Ommaney
4127,2,Apartment,1/11/2020,1/11/2020,1/11/2020,1,1,2,Public Housing,LOGAN ,Logan,Springwood
0,1,Apartment,1/09/2020,1/09/2020,1/09/2020,1,2,3,Public Housing,BURANDA ,Brisbane,Greenslopes
4812,2,Duplex,1/10/2020,1/10/2020,1/10/2020,1,2,3,Public Housing,TOWNSVILLE ,Townsville,Townsville
0,2,Apartment,1/07/2020,1/07/2020,1/07/2020,1,3,4,Public Housing,BURANDA ,Brisbane,Toohey
0,2,Detached House,1/01/2021,1/01/2021,1/01/2021,1,5,6,Public Housing,IPSWICH ,Ipswich,Bundamba
0,2,Apartment,1/10/2020,1/10/2020,1/10/2020,2,1,3,Public Housing,LOGAN ,Logan,Macalister
