Postcode,Bedrooms,PropertyType,VUDate,VTDate,TENDate,RUUseType,VUDays,VTDays,TotalVAC,HousingServiceCentre,LocalGovtAuthority,StateElectorate
4075,3,Detached House,1/08/2020,1/08/2020,1/08/2020,Public Housing,0,0,0,INALA ,Brisbane,Mount Ommaney
4301,2,Detached House,1/08/2020,1/08/2020,1/08/2020,Public Housing,1,0,1,IPSWICH ,Ipswich,Bundamba
4301,2,Detached House,1/09/2020,1/09/2020,1/09/2020,Public Housing,1,0,1,IPSWICH ,Ipswich,Bundamba
4301,2,Detached House,1/12/2020,1/12/2020,1/12/2020,Public Housing,1,0,1,IPSWICH ,Ipswich,Bundamba
4817,2,Detached House,1/07/2020,1/07/2020,1/07/2020,Public Housing,1,0,1,TOWNSVILLE ,Townsville,Thuringowa
4305,3,Detached House,1/11/2020,1/11/2020,1/11/2020,Public Housing,1,0,1,IPSWICH ,Ipswich,Ipswich
4305,3,Detached House,1/11/2020,1/11/2020,1/11/2020,Public Housing,1,0,1,IPSWICH ,Ipswich,Ipswich
4017,3,Duplex,1/07/2020,1/07/2020,1/07/2020,Public Housing,1,1,2,CHERMSIDE ,Brisbane,Sandgate
4301,3,Detached House,1/09/2020,1/09/2020,1/09/2020,Public Housing,1,1,2,IPSWICH ,Ipswich,Bundamba
4075,3,Detached House,1/10/2020,1/10/2020,1/10/2020,Public Housing,1,1,2,INALA ,Brisbane,Mount Ommaney
4127,2,Apartment,1/11/2020,1/11/2020,1/11/2020,Public Housing,1,1,2,LOGAN ,Logan,Springwood
4120,1,Apartment,1/09/2020,1/09/2020,1/09/2020,Public Housing,1,2,3,BURANDA ,Brisbane,Greenslopes
4812,2,Duplex,1/10/2020,1/10/2020,1/10/2020,Public Housing,1,2,3,TOWNSVILLE ,Townsville,Townsville
4108,2,Apartment,1/07/2020,1/07/2020,1/07/2020,Public Housing,1,3,4,BURANDA ,Brisbane,Toohey
4301,2,Detached House,1/01/2021,1/01/2021,1/01/2021,Public Housing,1,5,6,IPSWICH ,Ipswich,Bundamba
4207,2,Apartment,1/10/2020,1/10/2020,1/10/2020,Public Housing,2,1,3,LOGAN ,Logan,Macalister
4812,2,Apartment,1/08/2020,1/08/2020,1/08/2020,Public Housing,8,0,8,TOWNSVILLE ,Townsville,Townsville
4812,2,Duplex,1/10/2020,1/10/2020,1/10/2020,Public Housing,8,2,10,TOWNSVILLE ,Townsville,Townsville
4817,3,Detached House,1/10/2020,1/10/2020,1/10/2020,Public Housing,13,0,13,TOWNSVILLE ,Townsville,Hinchinbrook
4812,2,Apartment,1/11/2020,1/11/2020,1/01/2021,Public Housing,13,52,65,TOWNSVILLE ,Townsville,Mundingburra
4110,3,Detached House,1/08/2020,1/09/2020,1/09/2020,Public Housing,15,0,15,INALA ,Brisbane,Algester
4207,2,Apartment,1/08/2020,1/09/2020,1/09/2020,Public Housing,18,0,18,LOGAN ,Logan,Macalister
4814,3,Detached House,1/10/2020,1/11/2020,1/11/2020,Public Housing,18,1,19,TOWNSVILLE ,Townsville,Mundingburra
4812,2,Apartment,1/07/2020,1/08/2020,1/08/2020,Public Housing,23,0,23,TOWNSVILLE ,Townsville,Townsville
4817,2,Duplex,1/08/2020,1/09/2020,1/09/2020,Public Housing,32,1,33,TOWNSVILLE ,Townsville,Thuringowa
4814,2,Townhouse,1/05/2020,1/07/2020,1/07/2020,Public Housing,34,0,34,TOWNSVILLE ,Townsville,Mundingburra
4132,2,Townhouse,1/09/2020,1/11/2020,1/11/2020,Public Housing,37,0,37,LOGAN ,Logan,Woodridge
4814,2,Cluster House,1/09/2020,1/11/2020,1/11/2020,Public Housing,49,2,51,TOWNSVILLE ,Townsville,Thuringowa
4508,3,Detached House,1/09/2020,1/10/2020,1/11/2020,Public Housing,57,3,60,MORETON BAY ,Moreton Bay,Bancroft
4110,3,Detached House,1/09/2020,1/11/2020,1/11/2020,Public Housing,60,0,60,INALA ,Brisbane,Algester
4127,2,Townhouse,1/08/2020,1/10/2020,1/10/2020,Public Housing,64,3,67,LOGAN ,Logan,Springwood
4508,2,Detached House,1/07/2020,1/10/2020,1/10/2020,Public Housing,66,1,67,MORETON BAY ,Moreton Bay,Bancroft
4812,2,Apartment,1/07/2020,1/10/2020,1/10/2020,Public Housing,70,1,71,TOWNSVILLE ,Townsville,Townsville
4817,2,Apartment,1/09/2020,1/11/2020,1/12/2020,Public Housing,76,31,107,TOWNSVILLE ,Townsville,Thuringowa
4810,2,Apartment,1/08/2020,1/11/2020,1/12/2020,Public Housing,96,24,120,TOWNSVILLE ,Townsville,Townsville
4817,3,Detached House,1/04/2020,1/09/2020,1/09/2020,Public Housing,139,0,139,TOWNSVILLE ,Townsville,Thuringowa
4510,4,Townhouse,1/06/2020,1/11/2020,1/11/2020,Public Housing,156,1,157,MORETON BAY ,Moreton Bay,Morayfield
4510,3,Townhouse,1/02/2020,1/09/2020,1/09/2020,Public Housing,199,1,200,MORETON BAY ,Moreton Bay,Pumicestone
4510,3,Duplex,1/12/2020,1/12/2020,1/12/2020,Public Housing,0,0,0,MORETON BAY ,Moreton Bay,Morayfield
4573,4,Detached House,1/01/2021,1/01/2021,1/01/2021,Public Housing,0,0,0,MAROOCHYDORE ,Sunshine Coast,Ninderry
4301,4,Detached House,1/07/2020,1/07/2020,1/07/2020,Public Housing,0,0,0,IPSWICH ,Ipswich,Bundamba
4301,4,Detached House,1/10/2020,1/10/2020,1/10/2020,Public Housing,0,0,0,IPSWICH ,Ipswich,Bundamba
4350,2,Townhouse,1/03/2021,1/03/2021,1/03/2021,Public Housing,0,0,0,TOOWOOMBA AND SOUTH WEST ,Toowoomba,Toowoomba South
4301,2,Apartment,1/10/2020,1/10/2020,1/10/2020,Public Housing,0,1,1,IPSWICH ,Ipswich,Bundamba
4650,2,Apartment,1/12/2020,1/12/2020,1/12/2020,Public Housing,0,1,1,MARYBOROUGH ,Fraser Coast,Maryborough
4510,3,Duplex,1/05/2021,1/05/2021,1/05/2021,Public Housing,0,1,1,MORETON BAY ,Moreton Bay,Morayfield
4305,4,Detached House,1/02/2021,1/02/2021,1/02/2021,Public Housing,0,2,2,IPSWICH ,Ipswich,Ipswich West
4655,3,Detached House,1/11/2020,1/11/2020,1/11/2020,Public Housing,0,3,3,MARYBOROUGH ,Fraser Coast,Hervey Bay
4510,4,Detached House,1/12/2020,1/12/2020,1/12/2020,Public Housing,0,3,3,MORETON BAY ,Moreton Bay,Pumicestone
4305,4,Detached House,1/06/2021,1/06/2021,1/06/2021,Public Housing,0,7,7,IPSWICH ,Ipswich,Ipswich
4655,4,Detached House,1/05/2021,1/05/2021,1/05/2021,Public Housing,1,0,1,MARYBOROUGH ,Fraser Coast,Hervey Bay
4305,2,Detached House,1/07/2020,1/07/2020,1/07/2020,Public Housing,1,0,1,IPSWICH ,Ipswich,Ipswich West
4301,2,Detached House,1/09/2020,1/09/2020,1/09/2020,Public Housing,1,0,1,IPSWICH ,Ipswich,Bundamba
4305,1,Apartment,1/09/2020,1/09/2020,1/09/2020,Public Housing,1,0,1,IPSWICH ,Ipswich,Ipswich
4304,2,Apartment,1/11/2020,1/11/2020,1/11/2020,Public Housing,1,0,1,IPSWICH ,Ipswich,Bundamba
4305,3,Duplex,1/12/2020,1/12/2020,1/12/2020,Public Housing,1,0,1,IPSWICH ,Ipswich,Ipswich West
4350,4,Detached House,1/12/2020,1/12/2020,1/12/2020,Public Housing,1,0,1,TOOWOOMBA AND SOUTH WEST ,Toowoomba,Toowoomba North
4305,3,Detached House,1/01/2021,1/01/2021,1/01/2021,Public Housing,1,0,1,IPSWICH ,Ipswich,Ipswich West
4815,4,Detached House,1/01/2021,1/01/2021,1/01/2021,Public Housing,1,0,1,TOWNSVILLE ,Townsville,Thuringowa
4301,4,Detached House,1/02/2021,1/02/2021,1/02/2021,Public Housing,1,0,1,IPSWICH ,Ipswich,Bundamba
4551,3,Duplex,1/02/2021,1/02/2021,1/02/2021,Public Housing,1,0,1,MAROOCHYDORE ,Sunshine Coast,Caloundra
4132,3,Duplex,1/03/2021,1/03/2021,1/03/2021,Public Housing,1,0,1,LOGAN ,Logan,Woodridge
4650,4,Detached House,1/04/2021,1/04/2021,1/04/2021,Public Housing,1,0,1,MARYBOROUGH ,Fraser Coast,Maryborough
4132,3,Townhouse,1/05/2021,1/05/2021,1/05/2021,Public Housing,1,0,1,LOGAN ,Logan,Woodridge
